[2020-02-24 00:27:17,459] [DEBUG   ] [released_date: 16 Dec, 2019]
[2020-02-24 00:27:17,548] [DEBUG   ] [released_date: 2 Feb, 2017]
[2020-02-24 00:27:17,716] [DEBUG   ] [released_date: 21 May, 2018]
[2020-02-24 00:27:17,866] [DEBUG   ] [released_date: 19 May, 2017]
[2020-02-24 00:27:18,440] [DEBUG   ] [released_date: 22 Jan, 2018]
[2020-02-24 00:27:18,782] [DEBUG   ] [released_date: 22 Jan, 2013]
[2020-02-24 00:27:18,801] [DEBUG   ] [released_date: 27 Nov, 2018]
[2020-02-24 00:27:18,991] [DEBUG   ] [released_date: 20 Nov, 2019]
[2020-02-24 00:27:19,061] [DEBUG   ] [released_date: 10 Mar, 2015]
[2020-02-24 00:27:19,084] [DEBUG   ] [released_date: 13 Sep, 2018]
[2020-02-24 00:27:19,232] [DEBUG   ] [released_date: 26 Feb, 2016]
[2020-02-24 00:27:19,317] [DEBUG   ] [released_date: 25 Aug, 2016]
[2020-02-24 00:27:19,914] [DEBUG   ] [released_date: 6 Oct, 2015]
[2020-02-24 00:27:20,354] [DEBUG   ] [released_date: 30 Nov, 2015]
[2020-02-24 00:27:20,592] [DEBUG   ] [released_date: 13 Nov, 2019]
[2020-02-24 00:27:21,020] [DEBUG   ] [released_date: 9 Mar, 2015]
[2020-02-24 00:27:21,350] [DEBUG   ] [released_date: 25 Feb, 2016]
[2020-02-24 00:27:21,681] [DEBUG   ] [released_date: 17 Apr, 2016]
[2020-02-24 00:27:21,808] [DEBUG   ] [released_date: 13 Apr, 2016]
[2020-02-24 00:27:22,834] [DEBUG   ] [released_date: 26 Apr, 2018]
[2020-02-24 00:27:23,189] [DEBUG   ] [released_date: 2 Feb, 2017]
[2020-02-24 00:27:23,302] [DEBUG   ] [released_date: 15 May, 2014]
[2020-02-24 00:27:24,638] [DEBUG   ] [released_date: 15 Feb, 2017]
[2020-02-24 00:27:24,763] [DEBUG   ] [released_date: 19 Mar, 2013]
[2020-02-24 00:27:24,894] [DEBUG   ] [released_date: 28 Oct, 2019]
[2020-02-24 00:27:25,259] [DEBUG   ] [released_date: 29 May, 2014]
[2020-02-24 00:27:25,373] [DEBUG   ] [released_date: 6 Jan, 2019]
[2020-02-24 00:27:25,956] [DEBUG   ] [released_date: 13 Feb, 2015]
[2020-02-24 00:27:26,037] [DEBUG   ] [released_date: 29 Aug, 2014]
[2020-02-24 00:27:26,073] [DEBUG   ] [released_date: 22 May, 2019]
[2020-02-24 00:27:26,375] [DEBUG   ] [released_date: 13 Jul, 2017]
[2020-02-24 00:27:26,553] [DEBUG   ] [released_date: 30 May, 2014]
[2020-02-24 00:27:27,181] [DEBUG   ] [released_date: 1 Sep, 2017]
[2020-02-24 00:27:27,203] [DEBUG   ] [released_date: 23 Jan, 2015]
[2020-02-24 00:27:27,454] [DEBUG   ] [released_date: 25 Jan, 2019]
[2020-02-24 00:27:27,467] [DEBUG   ] [released_date: 11 Jul, 2017]
[2020-02-24 00:27:27,547] [DEBUG   ] [released_date: 23 Jan, 2017]
[2020-02-24 00:27:27,638] [DEBUG   ] [released_date: 11 May, 2018]
[2020-02-24 00:27:27,820] [DEBUG   ] [released_date: 22 Jan, 2013]
[2020-02-24 00:27:27,872] [DEBUG   ] [released_date: 1 Nov, 2018]
[2020-02-24 00:27:27,973] [DEBUG   ] [released_date: 6 Apr, 2017]
[2020-02-24 00:27:28,379] [DEBUG   ] [released_date: 20 Jun, 2016]
[2020-02-24 00:27:28,836] [DEBUG   ] [released_date: 2 Oct, 2019]
[2020-02-24 00:27:28,973] [DEBUG   ] [released_date: 7 Mar, 2019]
[2020-02-24 00:27:29,441] [DEBUG   ] [released_date: 16 Jan, 2020]
[2020-02-24 00:27:29,653] [DEBUG   ] [released_date: 29 Jun, 2018]
[2020-02-24 00:27:29,705] [DEBUG   ] [released_date: 24 Jan, 2020]
[2020-02-24 00:27:29,957] [DEBUG   ] [released_date: 15 Feb, 2016]
[2020-02-24 00:27:31,153] [DEBUG   ] [released_date: 2 Jul, 2013]
[2020-02-24 00:27:31,672] [DEBUG   ] [released_date: 10 Nov, 2016]
[2020-02-24 00:27:31,711] [DEBUG   ] [released_date: 4 Nov, 2016]
[2020-02-24 00:27:31,874] [DEBUG   ] [released_date: 17 Oct, 2016]
[2020-02-24 00:27:33,365] [DEBUG   ] [released_date: 12 May, 2017]
[2020-02-24 00:27:33,410] [DEBUG   ] [released_date: 21 Aug, 2017]
[2020-02-24 00:27:34,161] [DEBUG   ] [released_date: 9 Jun, 2015]
[2020-02-24 00:27:34,220] [DEBUG   ] [released_date: 22 Jun, 2016]
[2020-02-24 00:27:34,450] [DEBUG   ] [released_date: 20 Dec, 2016]
[2020-02-24 00:27:34,600] [DEBUG   ] [released_date: 5 Oct, 2017]
[2020-02-24 00:27:35,013] [DEBUG   ] [released_date: 6 Jun, 2014]
[2020-02-24 00:27:35,373] [DEBUG   ] [released_date: 6 Jul, 2015]
[2020-02-24 00:27:35,423] [DEBUG   ] [released_date: 30 May, 2019]
[2020-02-24 00:27:36,220] [DEBUG   ] [released_date: 23 Feb, 2016]
[2020-02-24 00:27:36,746] [DEBUG   ] [released_date: 16 Oct, 2013]
[2020-02-24 00:27:36,850] [DEBUG   ] [released_date: 20 Jan, 2017]
[2020-02-24 00:27:37,096] [DEBUG   ] [released_date: 7 Jul, 2016]
[2020-02-24 00:27:37,289] [DEBUG   ] [released_date: 21 Sep, 2015]
[2020-02-24 00:27:37,511] [DEBUG   ] [released_date: 5 Jan, 2018]
[2020-02-24 00:27:37,534] [DEBUG   ] [released_date: 29 May, 2014]
[2020-02-24 00:27:37,676] [DEBUG   ] [released_date: 25 Jun, 2015]
[2020-02-24 00:27:39,428] [DEBUG   ] [released_date: 29 Sep, 2017]
[2020-02-24 00:27:40,400] [DEBUG   ] [released_date: 11 Oct, 2018]
[2020-02-24 00:27:40,428] [DEBUG   ] [released_date: 27 Jul, 2017]
[2020-02-24 00:27:41,322] [DEBUG   ] [released_date: 28 Mar, 2019]
[2020-02-24 00:27:41,444] [DEBUG   ] [released_date: 22 Feb, 2019]
[2020-02-24 00:27:41,994] [DEBUG   ] [released_date: 10 Sep, 2018]
[2020-02-24 00:27:42,316] [DEBUG   ] [released_date: 13 Apr, 2016]
[2020-02-24 00:27:42,335] [DEBUG   ] [released_date: 6 Jul, 2015]
[2020-02-24 00:27:42,394] [DEBUG   ] [released_date: 29 May, 2015]
[2020-02-24 00:27:43,073] [DEBUG   ] [released_date: 19 May, 2017]
[2020-02-24 00:27:43,781] [DEBUG   ] [released_date: 21 Sep, 2017]
[2020-02-24 00:27:44,032] [DEBUG   ] [released_date: 24 Apr, 2012]
[2020-02-24 00:27:44,075] [DEBUG   ] [released_date: 7 Aug, 2015]
[2020-02-24 00:27:44,147] [DEBUG   ] [released_date: 30 Aug, 2019]
[2020-02-24 00:27:44,288] [DEBUG   ] [released_date: 6 Jan, 2020]
[2020-02-24 00:27:44,584] [DEBUG   ] [released_date: 29 May, 2014]
[2020-02-24 00:27:45,187] [DEBUG   ] [released_date: 2 Aug, 2019]
[2020-02-24 00:27:46,060] [DEBUG   ] [released_date: 25 Aug, 2016]
[2020-02-24 00:27:47,854] [DEBUG   ] [released_date: 14 Jul, 2005]
[2020-02-24 00:27:47,859] [DEBUG   ] [released_date: 9 Sep, 2016]
[2020-02-24 00:27:48,687] [DEBUG   ] [released_date: 28 Nov, 2014]
[2020-02-24 00:27:48,992] [DEBUG   ] [released_date: 13 Dec, 2018]
[2020-02-24 00:27:49,015] [DEBUG   ] [released_date: 24 Jan, 2017]
[2020-02-24 00:27:49,713] [DEBUG   ] [released_date: 9 Jun, 2014]
[2020-02-24 00:27:50,283] [DEBUG   ] [released_date: 4 Dec, 2012]
[2020-02-24 00:27:50,287] [DEBUG   ] [released_date: 18 Mar, 2013]
[2020-02-24 00:27:50,694] [DEBUG   ] [released_date: 5 Mar, 2018]
[2020-02-24 00:27:50,724] [DEBUG   ] [released_date: 2 Aug, 2017]
[2020-02-24 00:27:51,023] [DEBUG   ] [released_date: 19 Apr, 2018]
[2020-02-24 00:27:51,386] [DEBUG   ] [released_date: 11 Oct, 2016]
[2020-02-24 00:27:51,629] [DEBUG   ] [released_date: 8 Mar, 2018]
[2020-02-24 00:27:51,793] [DEBUG   ] [released_date: 29 Aug, 2018]
[2020-02-24 00:27:52,190] [DEBUG   ] [released_date: 18 Sep, 2014]
[2020-02-24 00:27:52,739] [DEBUG   ] [released_date: 7 Dec, 2016]
[2020-02-24 00:27:53,740] [DEBUG   ] [released_date: 31 Jan, 2017]
[2020-02-24 00:27:55,869] [DEBUG   ] [released_date: 15 Jul, 2014]
[2020-02-24 00:27:56,047] [DEBUG   ] [released_date: 11 Oct, 2006]
[2020-02-24 00:27:56,050] [DEBUG   ] [released_date: 12 Feb, 2019]
[2020-02-24 00:27:56,289] [DEBUG   ] [released_date: 21 Jul, 2016]
[2020-02-24 00:27:56,498] [DEBUG   ] [released_date: 13 Mar, 2015]
[2020-02-24 00:27:56,545] [DEBUG   ] [released_date: 23 Nov, 2016]
[2020-02-24 00:27:56,855] [DEBUG   ] [released_date: 6 Mar, 2018]
[2020-02-24 00:27:57,197] [DEBUG   ] [released_date: 15 Mar, 2018]
[2020-02-24 00:27:57,234] [DEBUG   ] [released_date: 5 Dec, 2019]
[2020-02-24 00:27:58,111] [DEBUG   ] [released_date: 12 Apr, 2018]
[2020-02-24 00:27:58,664] [DEBUG   ] [released_date: 14 Apr, 2016]
[2020-02-24 00:27:58,677] [DEBUG   ] [released_date: 28 Oct, 2016]
[2020-02-24 00:27:58,743] [DEBUG   ] [released_date: 11 Dec, 2014]
[2020-02-24 00:28:00,032] [DEBUG   ] [released_date: 16 Feb, 2016]
[2020-02-24 00:28:00,630] [DEBUG   ] [released_date: 28 May, 2013]
[2020-02-24 00:28:01,032] [DEBUG   ] [released_date: 20 Jun, 2019]
[2020-02-24 00:28:01,149] [DEBUG   ] [released_date: 12 Jul, 2016]
[2020-02-24 00:28:01,537] [DEBUG   ] [released_date: 30 Jan, 2017]
[2020-02-24 00:28:01,539] [DEBUG   ] [released_date: 7 Feb, 2017]
[2020-02-24 00:28:02,048] [DEBUG   ] [released_date: 29 Sep, 2014]
[2020-02-24 00:28:02,263] [DEBUG   ] [released_date: 10 Mar, 2015]
[2020-02-24 00:28:02,320] [DEBUG   ] [released_date: 12 Jun, 2014]
[2020-02-24 00:28:02,618] [DEBUG   ] [released_date: 15 Aug, 2016]
[2020-02-24 00:28:02,946] [DEBUG   ] [released_date: 21 Mar, 2016]
[2020-02-24 00:28:03,117] [DEBUG   ] [released_date: 20 Jan, 2017]
[2020-02-24 00:28:03,119] [DEBUG   ] [released_date: 3 Aug, 2015]
[2020-02-24 00:28:03,220] [DEBUG   ] [released_date: 30 Apr, 2019]
[2020-02-24 00:28:04,161] [DEBUG   ] [released_date: 11 Oct, 2017]
[2020-02-24 00:28:04,286] [DEBUG   ] [released_date: 14 Jul, 2017]
[2020-02-24 00:28:04,446] [DEBUG   ] [released_date: 6 May, 2016]
[2020-02-24 00:28:04,461] [DEBUG   ] [released_date: 27 Oct, 2017]
[2020-02-24 00:28:04,761] [DEBUG   ] [released_date: 11 Feb, 2020]
[2020-02-24 00:28:04,971] [DEBUG   ] [released_date: 2 Jul, 2015]
[2020-02-24 00:28:06,195] [DEBUG   ] [released_date: 26 Jan, 2015]
[2020-02-24 00:28:06,422] [DEBUG   ] [released_date: 16 Oct, 2012]
[2020-02-24 00:28:06,626] [DEBUG   ] [released_date: 5 May, 2015]
[2020-02-24 00:28:06,834] [DEBUG   ] [released_date: 24 Feb, 2017]
[2020-02-24 00:28:07,015] [DEBUG   ] [released_date: 2 Nov, 2017]
[2020-02-24 00:28:07,871] [DEBUG   ] [released_date: 21 Jan, 2019]
[2020-02-24 00:28:08,299] [DEBUG   ] [released_date: 13 Oct, 2017]
[2020-02-24 00:28:08,657] [DEBUG   ] [released_date: 24 May, 2018]
[2020-02-24 00:28:08,919] [DEBUG   ] [released_date: 26 Aug, 2016]
[2020-02-24 00:28:09,753] [DEBUG   ] [released_date: 5 Aug, 2015]
[2020-02-24 00:28:10,948] [DEBUG   ] [released_date: 7 Feb, 2018]
[2020-02-24 00:28:11,593] [DEBUG   ] [released_date: 8 Sep, 2016]
[2020-02-24 00:28:11,846] [DEBUG   ] [released_date: 25 Oct, 2019]
[2020-02-24 00:28:12,568] [DEBUG   ] [released_date: 11 Oct, 2016]
[2020-02-24 00:28:13,345] [DEBUG   ] [released_date: 23 Jun, 2017]
